,Target
1061,1
1062,1
1063,0
1064,0
1065,1
1066,0
1067,0
1068,1
1069,0
1070,0
1071,1
1072,1
1073,0
1074,0
1075,0
1076,1
1077,1
1078,1
1079,0
1080,0
1081,0
1082,0
1083,1
1084,1
1085,0
1086,0
1087,1
1088,0
1089,0
1090,0
1091,1
1092,1
1093,1
1094,1
1095,1
1096,0
1097,0
1098,1
1099,0
1100,1
1101,1
1102,1
1103,0
1104,0
1105,0
1106,1
1107,0
1108,0
1109,1
1110,1
1111,0
1112,1
1113,1
1114,0
1115,1
1116,0
1117,0
1118,0
1119,1
1120,1
1121,1
1122,0
1123,1
1124,0
1125,1
1126,0
1127,1
1128,0
1129,1
1130,1
1131,1
1132,1
1133,0
1134,0
1135,0
1136,0
1137,0
1138,1
1139,0
1140,1
1141,1
1142,1
1143,1
1144,0
1145,0
1146,0
1147,1
1148,0
1149,0
1150,0
1151,1
1152,1
1153,1
1154,0
1155,0
1156,0
1157,1
1158,1
1159,0
1160,1
1161,0
1162,0
1163,1
1164,1
1165,1
1166,0
1167,0
1168,0
1169,1
1170,1
1171,0
1172,1
1173,1
1174,0
1175,1
1176,1
1177,0
1178,0
1179,0
1180,0
1181,1
1182,0
1183,1
1184,1
1185,1
1186,0
1187,1
1188,0
1189,1
1190,0
1191,1
1192,0
1193,1
1194,1
1195,1
1196,1
1197,0
1198,0
1199,0
1200,1
1201,1
1202,1
1203,1
1204,0
1205,0
1206,0
1207,0
1208,0
1209,1
1210,0
1211,0
1212,1
1213,1
1214,0
1215,1
1216,1
1217,0
1218,0
1219,0
1220,1
1221,0
1222,1
1223,1
1224,1
1225,0
1226,0
1227,0
1228,1
1229,0
1230,0
1231,0
1232,0
1233,1
1234,1
1235,0
1236,1
1237,1
1238,1
1239,1
1240,0
1241,0
1242,1
1243,0
1244,1
1245,1
1246,1
1247,0
1248,0
1249,0
1250,1
1251,1
1252,0
1253,0
1254,0
1255,1
1256,0
1257,1
1258,1
1259,0
1260,0
1261,1
1262,1
1263,1
1264,0
1265,0
1266,0
1267,1
1268,1
1269,1
1270,1
1271,0
1272,1
1273,1
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,1
1281,1
1282,1
1283,1
1284,0
1285,1
1286,0
1287,1
1288,0
1289,0
1290,1
1291,0
1292,0
1293,1
1294,1
1295,1
1296,1
1297,0
1298,0
1299,1
1300,1
1301,0
1302,0
1303,0
1304,1
1305,0
1306,0
1307,1
1308,1
1309,0
1310,1
1311,1
1312,0
1313,0
1314,1
1315,1
1316,1
1317,0
1318,1
1319,0
1320,0
1321,1
1322,0
1323,1
1324,0
1325,1
1326,0
1327,1
1328,0
1329,0
1330,1
1331,0
1332,1
1333,0
1334,1
1335,0
1336,1
1337,0
1338,1
1339,1
1340,0
1341,0
1342,1
1343,0
1344,1
1345,1
1346,0
1347,1
1348,0
1349,0
1350,0
1351,0
1352,0
1353,1
1354,0
1355,0
1356,1
1357,1
1358,0
1359,1
1360,1
1361,1
1362,1
1363,0
1364,1
1365,1
1366,0
1367,0
1368,0
1369,0
1370,1
1371,1
1372,1
1373,1
1374,0
1375,0
1376,0
1377,0
1378,0
1379,1
1380,1
1381,1
1382,1
1383,0
1384,1
1385,0
1386,0
1387,1
1388,0
1389,1
1390,1
1391,0
1392,1
1393,1
1394,0
1395,0
1396,1
1397,0
1398,0
1399,0
1400,1
1401,1
1402,1
1403,1
1404,0
1405,0
1406,0
1407,1
1408,0
1409,1
1410,1
1411,0
1412,0
1413,0
1414,1
1415,1
1416,1
1417,1
1418,0
1419,1
1420,0
1421,0
1422,1
1423,1
1424,0
1425,1
1426,0
1427,0
1428,1
1429,0
1430,0
1431,0
1432,1
1433,1
1434,0
1435,1
1436,1
1437,0
1438,0
1439,1
1440,1
1441,1
1442,0
1443,1
1444,1
1445,1
1446,0
1447,0
1448,1
1449,0
1450,0
1451,1
1452,0
1453,0
1454,0
1455,1
1456,1
1457,0
1458,0
1459,0
1460,1
1461,0
1462,1
1463,0
1464,0
1465,0
1466,1
1467,1
1468,1
1469,0
1470,1
1471,1
1472,1
1473,0
1474,1
1475,1
1476,0
1477,0
1478,0
1479,1
1480,1
1481,0
1482,0
1483,1
1484,1
1485,1
1486,1
1487,1
1488,0
1489,0
1490,0
1491,1
1492,0
1493,1
1494,0
1495,1
1496,0
1497,1
1498,0
1499,0
1500,1
1501,1
1502,0
1503,0
1504,0
1505,1
1506,1
1507,0
1508,0
1509,1
1510,0
1511,0
1512,1
1513,1
1514,1
1515,0
1516,1
1517,1
1518,0
1519,0
1520,1
1521,0
1522,1
1523,1
1524,0
1525,1
1526,0
1527,0
1528,0
1529,1
1530,0
1531,1
1532,1
1533,1
1534,0
1535,0
1536,1
1537,1
1538,0
1539,0
1540,1
1541,0
1542,1
1543,0
1544,1
1545,0
1546,1
1547,0
1548,1
1549,0
1550,1
1551,0
1552,1
1553,1
1554,0
1555,1
1556,0
1557,0
1558,1
1559,1
1560,1
1561,0
1562,0
1563,1
1564,0
1565,0
1566,0
1567,0
1568,1
1569,1
1570,1
1571,1
1572,0
1573,1
1574,1
1575,0
1576,0
1577,1
1578,0
1579,1
1580,1
1581,0
1582,1
1583,0
1584,1
1585,1
1586,1
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,1
1594,0
1595,1
1596,0
1597,1
1598,1
1599,1
1600,0
1601,0
1602,1
1603,0
1604,0
1605,0
1606,1
1607,0
1608,1
1609,1
1610,1
1611,1
1612,0
1613,1
1614,0
1615,0
1616,1
1617,0
1618,1
1619,1
1620,0
1621,1
1622,0
1623,1
1624,1
1625,1
1626,0
1627,0
1628,0
1629,0
1630,1
1631,1
1632,1
1633,1
1634,0
1635,1
1636,0
1637,0
1638,0
1639,1
1640,1
1641,0
1642,0
1643,1
1644,1
1645,1
1646,0
1647,0
1648,0
1649,0
1650,1
1651,1
1652,0
1653,0
1654,0
1655,1
1656,1
1657,1
1658,1
1659,0
1660,1
1661,1
1662,0
1663,0
1664,0
1665,0
1666,1
1667,1
1668,0
1669,0
1670,1
1671,1
1672,0
1673,0
1674,1
1675,1
1676,0
1677,1
1678,0
1679,0
1680,0
1681,0
1682,0
1683,1
1684,1
1685,1
1686,1
1687,0
1688,0
1689,1
1690,1
1691,1
1692,0
1693,1
1694,0
1695,0
1696,1
1697,0
1698,1
1699,0
1700,0
1701,1
1702,0
1703,0
1704,0
1705,1
1706,0
1707,1
1708,1
1709,1
1710,0
1711,1
1712,1
1713,1
1714,0
1715,1
1716,1
1717,1
1718,0
1719,1
1720,0
1721,0
1722,0
1723,0
1724,0
1725,1
1726,1
1727,0
1728,0
1729,1
1730,1
1731,0
1732,1
1733,0
1734,1
1735,1
1736,0
1737,1
1738,0
1739,0
1740,1
1741,0
1742,0
1743,1
1744,1
1745,0
1746,1
1747,0
1748,0
1749,1
1750,1
1751,0
1752,1
1753,0
1754,0
1755,1
1756,1
1757,1
1758,0
1759,1
1760,0
1761,0
1762,1
1763,1
1764,1
1765,0
1766,0
1767,0
1768,1
1769,1
1770,0
1771,0
1772,1
1773,1
1774,1
1775,0
1776,1
1777,1
1778,1
1779,0
1780,0
1781,1
1782,0
1783,0
1784,0
1785,0
1786,0
1787,1
1788,0
1789,0
1790,1
1791,1
1792,1
1793,0
1794,1
1795,1
1796,1
1797,1
1798,1
1799,0
1800,0
1801,1
1802,1
1803,0
1804,0
1805,0
1806,1
1807,0
1808,0
1809,0
1810,0
1811,1
1812,1
1813,1
1814,0
1815,1
1816,0
1817,0
1818,0
1819,1
1820,1
1821,1
1822,0
1823,0
1824,1
1825,1
1826,0
1827,1
1828,1
1829,1
1830,1
1831,0
1832,0
1833,1
1834,0
1835,0
1836,1
1837,0
1838,1
1839,0
1840,1
1841,0
1842,0
1843,1
1844,0
1845,1
1846,1
1847,0
1848,1
1849,0
1850,0
1851,1
1852,1
1853,1
1854,0
1855,1
1856,1
1857,0
1858,0
1859,1
1860,0
1861,1
1862,0
1863,1
1864,0
1865,0
1866,1
1867,0
1868,0
1869,1
1870,1
1871,1
1872,0
1873,0
1874,0
1875,1
1876,1
1877,0
1878,1
1879,1
1880,0
1881,0
1882,0
1883,0
1884,1
1885,0
1886,1
1887,1
1888,0
1889,1
1890,0
1891,0
1892,0
1893,1
1894,1
1895,0
1896,0
1897,0
1898,0
1899,0
1900,1
1901,0
1902,1
1903,0
1904,1
1905,1
1906,1
1907,1
1908,1
1909,1
1910,0
1911,0
1912,0
1913,1
1914,1
1915,0
1916,1
1917,1
1918,0
1919,1
1920,0
1921,0
1922,1
1923,0
1924,1
1925,0
1926,0
1927,1
1928,1
1929,0
1930,1
1931,0
1932,1
1933,1
1934,0
1935,0
1936,1
1937,0
1938,1
1939,0
1940,1
1941,0
1942,1
1943,0
1944,1
1945,1
1946,1
1947,0
1948,0
1949,1
1950,0
1951,0
1952,1
1953,0
1954,0
1955,1
1956,0
1957,1
1958,0
1959,0
1960,0
1961,1
1962,1
1963,1
1964,1
1965,0
1966,0
1967,1
1968,0
1969,0
1970,0
1971,0
1972,1
1973,1
1974,1
1975,1
1976,1
1977,1
1978,0
1979,1
1980,1
1981,1
1982,0
1983,0
1984,0
1985,1
1986,0
1987,0
1988,0
1989,1
1990,1
1991,0
1992,1
1993,0
1994,0
1995,1
1996,0
1997,0
1998,1
1999,0
2000,1
2001,1
2002,1
2003,1
2004,0
2005,1
2006,0
2007,1
2008,0
2009,1
2010,0
2011,1
2012,0
2013,1
2014,1
2015,1
2016,1
2017,0
2018,0
2019,0
2020,0
2021,0
2022,1
2023,1
2024,1
2025,0
2026,0
2027,1
2028,0
2029,1
2030,0
2031,1
2032,0
2033,0
2034,1
2035,0
2036,1
2037,1
2038,0
2039,0
2040,1
2041,1
2042,0
2043,0
2044,0
2045,1
2046,1
2047,1
2048,0
2049,0
2050,0
2051,1
2052,1
2053,0
2054,0
2055,1
2056,1
2057,1
2058,1
2059,0
2060,1
2061,1
2062,0
2063,0
2064,0
2065,0
2066,1
2067,0
2068,0
2069,1
2070,0
2071,0
2072,1
2073,1
2074,1
2075,1
2076,0
2077,0
2078,1
2079,1
2080,0
2081,1
2082,0
2083,1
2084,0
2085,1
2086,1
2087,0
2088,0
2089,1
2090,0
2091,1
2092,1
2093,0
2094,0
2095,0
2096,0
2097,0
2098,1
2099,1
2100,0
2101,1
2102,1
2103,0
2104,0
2105,1
2106,0
2107,1
2108,1
2109,1
2110,0
2111,0
2112,1
2113,1
2114,1
2115,0
2116,0
2117,1
2118,0
2119,1
2120,0
2121,1
2122,0
2123,0
2124,0
2125,0
2126,1
2127,1
2128,1
2129,0
2130,0
2131,1
2132,0
2133,0
2134,0
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,0
2142,1
2143,0
2144,1
2145,0
2146,0
2147,0
2148,1
2149,1
2150,0
2151,0
2152,0
2153,1
2154,1
2155,1
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,1
2163,0
2164,0
2165,1
2166,1
2167,1
2168,0
2169,1
2170,1
2171,1
2172,1
2173,0
2174,0
2175,1
2176,1
2177,1
2178,1
2179,0
2180,1
2181,1
2182,0
2183,1
2184,1
2185,1
2186,0
2187,1
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,1
2195,0
2196,1
2197,1
2198,0
2199,0
2200,1
2201,0
2202,0
2203,1
2204,1
2205,1
2206,1
2207,1
2208,0
2209,1
2210,0
2211,0
2212,1
2213,1
2214,0
2215,1
2216,0
2217,0
2218,0
2219,0
2220,1
2221,0
2222,0
2223,1
2224,0
2225,1
2226,1
2227,0
2228,0
2229,1
2230,0
2231,1
2232,0
2233,0
2234,1
2235,1
2236,1
2237,0
2238,1
2239,0
2240,1
2241,0
2242,0
2243,1
2244,1
2245,0
2246,0
2247,1
2248,0
2249,0
2250,1
2251,0
2252,1
2253,1
2254,0
2255,1
2256,1
2257,0
2258,1
2259,0
2260,1
2261,1
2262,0
2263,1
2264,1
2265,1
2266,0
2267,0
2268,1
2269,0
2270,0
2271,0
2272,0
2273,0
2274,1
2275,1
2276,1
2277,0
2278,1
2279,0
2280,0
2281,0
2282,1
2283,1
2284,0
2285,0
2286,1
2287,1
2288,1
2289,1
2290,0
2291,1
2292,0
2293,0
2294,0
2295,1
2296,1
2297,0
2298,1
2299,0
2300,0
2301,0
2302,0
2303,0
2304,1
2305,0
2306,1
2307,1
2308,1
2309,0
2310,1
2311,1
2312,1
2313,0
2314,1
2315,0
2316,0
2317,1
2318,1
2319,0
2320,1
2321,1
2322,1
2323,0
2324,0
2325,1
2326,0
2327,0
2328,1
2329,0
2330,1
2331,0
2332,1
2333,1
2334,0
2335,1
2336,0
2337,1
2338,0
2339,0
2340,0
2341,1
2342,1
2343,1
2344,0
2345,1
2346,0
2347,0
2348,1
2349,0
2350,0
2351,1
2352,0
2353,1
2354,1
2355,0
2356,0
2357,1
2358,1
2359,1
2360,0
2361,1
2362,0
2363,0
2364,1
2365,0
2366,1
2367,1
2368,1
2369,0
2370,0
2371,1
2372,0
2373,1
2374,0
2375,0
2376,0
2377,0
2378,1
2379,1
2380,1
2381,1
2382,1
2383,0
2384,1
2385,1
2386,0
2387,0
2388,1
2389,0
2390,0
2391,0
2392,1
2393,0
2394,0
2395,1
2396,0
2397,0
2398,0
2399,1
2400,1
2401,1
2402,1
2403,1
2404,0
2405,0
2406,1
2407,0
2408,1
2409,1
2410,1
2411,1
2412,0
2413,0
2414,0
2415,1
2416,0
2417,0
2418,1
2419,1
2420,1
2421,0
2422,0
2423,0
2424,1
2425,0
2426,1
2427,0
2428,0
2429,1
2430,1
2431,1
2432,0
2433,0
2434,0
2435,0
2436,0
2437,1
2438,1
2439,0
2440,0
2441,0
2442,1
2443,1
2444,0
2445,1
2446,1
2447,1
2448,1
2449,1
2450,0
2451,0
2452,0
2453,1
2454,1
2455,1
2456,0
2457,1
2458,0
2459,0
2460,1
2461,0
2462,1
2463,0
2464,0
2465,1
2466,0
2467,1
2468,1
2469,1
2470,0
2471,0
2472,1
2473,0
2474,0
2475,1
2476,1
2477,0
2478,1
2479,0
2480,0
2481,1
2482,0
2483,1
2484,1
2485,0
2486,1
2487,0
2488,1
2489,1
2490,0
2491,1
2492,0
2493,0
2494,1
2495,1
2496,0
2497,0
2498,1
2499,1
2500,1
2501,0
2502,1
2503,0
2504,0
2505,1
2506,0
2507,1
2508,1
2509,0
2510,1
2511,1
2512,0
2513,0
2514,0
2515,0
2516,1
2517,0
2518,1
2519,1
2520,0
2521,1
2522,1
2523,0
2524,1
2525,0
2526,0
2527,0
2528,0
2529,0
2530,1
2531,1
2532,0
2533,0
2534,1
2535,1
2536,1
2537,0
2538,1
2539,0
2540,0
2541,1
2542,1
2543,0
2544,1
2545,1
2546,0
2547,1
2548,0
2549,0
2550,1
2551,0
2552,1
2553,0
2554,1
2555,1
2556,0
2557,1
2558,1
2559,1
2560,1
2561,1
2562,0
2563,0
2564,0
2565,0
2566,0
2567,1
2568,0
2569,1
2570,0
2571,1
2572,0
2573,0
2574,1
2575,0
2576,1
2577,0
2578,1
2579,0
2580,1
2581,1
2582,1
2583,1
2584,1
2585,0
2586,0
2587,0
2588,0
2589,1
2590,0
2591,0
2592,0
2593,1
2594,1
2595,1
2596,0
2597,0
2598,0
2599,0
2600,0
2601,0
2602,1
2603,1
2604,0
2605,1
2606,0
2607,0
2608,0
2609,1
2610,0
2611,1
2612,1
2613,1
2614,1
2615,0
2616,1
2617,1
2618,1
2619,1
2620,1
2621,0
2622,0
2623,0
2624,1
2625,1
2626,0
2627,0
2628,0
2629,1
2630,1
2631,0
2632,0
2633,1
2634,1
2635,0
2636,1
2637,1
2638,0
2639,0
2640,0
2641,1
2642,0
2643,1
2644,1
2645,1
2646,0
2647,0
2648,0
2649,1
2650,1
2651,1
2652,0
2653,1
2654,0
2655,0
2656,0
2657,1
2658,0
2659,1
2660,0
2661,1
2662,0
2663,1
2664,0
2665,1
2666,1
2667,0
2668,1
2669,1
2670,0
2671,1
2672,0
2673,1
2674,1
2675,0
2676,0
2677,1
2678,0
2679,0
2680,1
2681,0
2682,1
2683,0
2684,0
2685,0
2686,1
2687,1
2688,1
2689,0
2690,1
2691,1
2692,0
2693,1
2694,0
2695,0
2696,1
2697,0
2698,1
2699,0
2700,1
2701,0
2702,1
2703,0
2704,0
2705,0
2706,1
2707,0
2708,0
2709,1
2710,0
2711,1
2712,0
2713,0
2714,0
2715,1
2716,1
2717,1
2718,0
2719,1
2720,0
2721,1
2722,0
2723,1
2724,1
2725,1
2726,1
2727,0
2728,1
2729,1
2730,0
2731,0
2732,0
2733,1
2734,1
2735,1
2736,0
2737,1
2738,0
2739,0
2740,1
2741,0
2742,1
2743,1
2744,1
2745,1
2746,0
2747,0
2748,0
2749,0
2750,1
2751,1
2752,0
2753,1
2754,0
2755,1
2756,0
2757,1
2758,0
2759,1
2760,0
2761,1
2762,1
2763,1
2764,0
2765,0
2766,0
2767,1
2768,0
2769,0
2770,1
2771,0
2772,1
2773,0
2774,0
2775,1
2776,1
2777,0
2778,1
2779,0
2780,1
2781,0
2782,1
2783,0
2784,1
2785,0
2786,1
2787,0
2788,1
2789,1
2790,0
2791,0
2792,1
2793,1
2794,0
2795,0
2796,1
2797,0
2798,1
2799,1
2800,0
2801,0
2802,1
2803,0
2804,1
2805,1
2806,0
2807,0
2808,1
2809,0
2810,1
2811,1
2812,0
2813,1
2814,0
2815,1
2816,0
2817,1
2818,0
2819,1
2820,1
2821,0
2822,0
2823,0
2824,1
2825,1
2826,0
2827,1
2828,1
2829,0
2830,0
2831,1
2832,1
2833,0
2834,0
2835,0
2836,1
2837,1
2838,0
2839,1
2840,1
2841,0
2842,0
2843,0
2844,1
2845,1
2846,1
2847,0
2848,0
2849,1
2850,0
2851,1
2852,1
2853,0
2854,0
2855,1
2856,1
2857,0
2858,0
2859,0
2860,1
2861,0
2862,1
2863,1
2864,0
2865,0
2866,1
2867,1
2868,1
2869,0
2870,0
2871,1
2872,1
2873,0
2874,0
2875,1
2876,1
2877,0
2878,0
2879,1
2880,0
2881,1
2882,0
2883,0
2884,1
2885,0
2886,1
2887,0
2888,0
2889,1
2890,1
2891,0
2892,1
2893,0
2894,0
2895,1
2896,1
2897,0
2898,1
2899,0
2900,1
2901,0
2902,0
2903,1
2904,1
2905,0
2906,1
2907,1
2908,0
2909,1
2910,1
2911,0
2912,0
2913,1
2914,1
2915,0
2916,0
2917,0
2918,1
2919,1
2920,0
2921,1
2922,0
2923,1
2924,0
2925,1
2926,1
2927,0
2928,0
2929,1
2930,0
2931,1
2932,1
2933,0
2934,0
2935,1
2936,0
2937,1
2938,0
2939,1
2940,1
2941,0
2942,0
2943,1
2944,0
2945,0
2946,1
2947,0
2948,0
2949,0
2950,1
2951,0
2952,0
2953,1
2954,0
2955,1
2956,0
2957,1
2958,1
2959,1
2960,1
2961,1
2962,1
2963,1
2964,1
2965,0
2966,0
2967,0
2968,0
2969,0
2970,0
2971,1
2972,0
2973,0
2974,1
2975,0
2976,0
2977,1
2978,1
2979,1
2980,1
2981,1
2982,0
2983,1
2984,1
2985,0
2986,0
2987,0
2988,0
2989,1
2990,1
2991,1
2992,0
2993,1
2994,0
2995,0
2996,0
2997,1
